S/NO.,Name,HMO ID,Website,Address,Email,Contact Number,Country,Source,Source URL,State,Region,Coverage State,Coverage Type,Services Rendered,Target Customers
1,A&M HEALTHCARE TRUST LIMITED,102.0,https://amhmo.com/,"Plot U Bekaji Road, Opposite Bekaji Jumma'at Mosque, Jimeta, Yola, Adamawa State",info@amhmo.com,"08033646497, 09162788582, 08024143666",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Adamawa,North East,Adamawa,Individual / Family / Corporate,Outpatient care; Specialist consultation; Inpatient care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; Corporate Organisations
2,AIICO MULTISHIELD NIGERIA LIMITED,6.0,https://www.aiicomultishield.com/,"322, IKORODU ROAD, ANTHONY",info@aiicomultishield.com loshunniyi@aiicomultishield.com,07026744353 08056744353,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate / SME / Group / International,Medical consultation; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Hospital care; Emergency care; Maternity care,Individuals; Families; SMEs; Corporate Organisations; Associations; Large Groups
3,ALLEANZA HEALTH MANAGEMENT LIMITED,111.0,https://alleanzahealth.com/individual-plans/,"? 83B, Basheer Shittu Avenue, Magodo Estate, Phase 2, Shangisha, Lagos",info@alleanzahealth.com,07036592835,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate / Elderly / SME,Medical consultation; Hospital admission; Surgery; Maternity care; Emergency care; Pharmacy services; Provider network access,Individuals; Families; Elderly/Senior Citizens; SMEs; Corporate Organisations
4,ALLY HEALTHCARE LIMITED,119.0,https://amanhmo.com/home,"Suit C4 Plot 1196 Ndjamena Crescent, Wuse II, Abuja",allyhealthcarelimited@gmail.com,08148808171,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,FCT,Individual / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; Corporate Organisations
5,AMAN HEALTH MAINTENANCE ORGANIZATIONS,121.0,https://anchorhmo.com/,"? 1, M. M. Alkali Street, Off 442 Crescent, Citec Vilas Gwarinpa, Abuja",info@amanhmo.com,08100588906,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,FCT,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; Corporate Organisations
6,ANCHOR HMO INTERNATIONAL COMPANY LIMITED,76.0,https://ashmedintegratedhealthservices.com/,GOLDCREST MALL BUILDING,info@anchorhmo.com,"08031230306, 07058890062, 07080601192",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,N/A,N/A,Nationwide – Nigeria,Individual / Corporate / SME,Corporate health plans; Retail health plans; Third-party administration; Customized health plans; Emergency support; Claims management,Individuals; Families; SMEs; Small and Large Employers; Corporate Organisations
7,ASHMED INTEGRATED HEALTH SERVICES LTD.,89.0,https://www.avonhealthcare.com/,"RE 013 ZUNGERU CLOSE BY BIMA ROAD NITEL QUARTERS, KADUNA",info@ashmedintegratedhealthservices.com,07036035182,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Kaduna,North West,Kaduna,Individual / Family / Corporate,Managed healthcare; Health insurance; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; Corporate Organisations
8,AVON HEALTHCARE LIMITED,63.0,https://www.axamansard.com/health/plans/,"22B, GLOVER ROAD",info@avonhealthcare.com,"08102659972, 07002779800",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Health insurance; Outpatient care; Inpatient care; Specialist consultation; Diagnostic services; Prescription medicines; Emergency care; Maternity care; Dental care; Optical care,Individuals; Couples; Families; Businesses; Corporate Organisations
9,AXA MANSARD HEALTH LIMITED,59.0,https://bastionhmo.com/,"177, IKORODU ROAD, ONIPANU, LAGOS",healthcare@axamansard.com,0700AXAMANSARD,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Outpatient care; Inpatient care; Surgical services; Routine immunization; Emergency evacuation; Dental care; Eye care; Physiotherapy; Telemedicine; Pharmacy services; Hospital cash,Individuals; Families; Employees; Groups; Corporate Organisations
10,BASTION HEALTH LIMITED,97.0,https://www.centurymedicaid.org/,"UBN HOUSE NO 1 ADEOLA ODEKU STREET, VICTORIA ISLAND, LAGOS, ETI OSA, LAGOS, Nigeria",Naomiduku@bastionhmo.com,0802BASTI0NHM0 08002278466,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Health insurance; Outpatient care; Inpatient care; Specialist care; Hospital services; Emergency care; Provider network access; Corporate and individual health plans,Individuals; Families; Senior Citizens; SMEs; Corporate Organisations
