Company Name,Region/Focus,Type,Country
Hygeia HMO,Lagos / National,Health Maintenance Organization,Nigeria
Total Health Trust Limited,National,Health Maintenance Organization,Nigeria
Clearline International Limited,Lagos / National,Health Maintenance Organization,Nigeria
HCI Healthcare Limited,National,Health Maintenance Organization,Nigeria
Mediplan Healthcare Limited,National,Health Maintenance Organization,Nigeria
Aiico-Multishield HMO,National,Health Maintenance Organization,Nigeria
United Healthcare International Ltd,Abuja / National,Health Maintenance Organization,Nigeria
Ronsberger HMO,Abuja / National,Health Maintenance Organization,Nigeria
International Health Management Services,National,Health Maintenance Organization,Nigeria
Songhai HMO,National,Health Maintenance Organization,Nigeria
Integrated Health Care Limited,National,Health Maintenance Organization,Nigeria
Sunu Healthcare Services Limited,National,Health Maintenance Organization,Nigeria
Princeton Health Ltd,National,Health Maintenance Organization,Nigeria
Venus Medicare Ltd,National,Health Maintenance Organization,Nigeria
Defence Health Maintenance Limited,National,Military/Civil Health,Nigeria
United Comprehensive Healthcare,National,Health Maintenance Organization,Nigeria
AXA Mansard Health Limited,Lagos / National,Health Maintenance Organization,Nigeria
Leadway Health Limited,National,Health Maintenance Organization,Nigeria
Reliance HMO,Digital / National,Health Maintenance Organization,Nigeria
Avon Healthcare Limited,National,Health Maintenance Organization,Nigeria
Premium Health Limited,National,Health Maintenance Organization,Nigeria
Redcare HMO,National,Health Maintenance Organization,Nigeria
Ultimate Health Management Services,Abuja,Health Maintenance Organization,Nigeria
MetroHealth HMO,Lagos,Health Maintenance Organization,Nigeria
Zuma Health Trust Ltd,Abuja,Health Maintenance Organization,Nigeria
Salus Trust GTE Ltd,National,Catholic Health Network,Nigeria
Maayoit Healthcare Limited,National,Health Maintenance Organization,Nigeria
Regent HMO,Lagos,Health Maintenance Organization,Nigeria
Anchor HMO,National,Health Maintenance Organization,Nigeria
Princeton Health HMO,National,Health Maintenance Organization,Nigeria
Managed Healthcare Services Ltd,National,Health Maintenance Organization,Nigeria
Nelly Health HMO,Regional,Health Maintenance Organization,Nigeria
Wellness HMO,Lagos / National,Health Maintenance Organization,Nigeria
Oceanic Health Management Ltd,National,Health Maintenance Organization,Nigeria
Saviour Health HMO,Regional,Health Maintenance Organization,Nigeria
Cignet Health Limited,Lagos / Regional,Health Maintenance Organization,Nigeria
Gold Cross HMO,National,Health Maintenance Organization,Nigeria
Equinox HMO,Regional,Health Maintenance Organization,Nigeria
Marina HMO,Lagos / National,Health Maintenance Organization,Nigeria
Staco Health HMO,National,Health Maintenance Organization,Nigeria
Alliance HMO,National,Health Maintenance Organization,Nigeria
Royal Exchange Healthcare Ltd,National,Health Maintenance Organization,Nigeria
Bupa Insurance Limited,National,Private Medical Insurance,England
AXA PPP Healthcare Limited,National,Private Medical Insurance,England
Aviva Health UK Limited,National,Private Medical Insurance,England
Vitality Corporate Services Limited,National,Private Medical Insurance,England
The Exeter,Regional,Friendly Society / PMI,England
WPA (Western Provident Association),Specialist,Specialist PMI,England
Simplyhealth,National,Health Cash Plans,England
Benenden Health,Mutual,Mutual Healthcare,England
Freedom Health Insurance,Private,Private Medical Insurance,England
National Friendly,Regional,Mutual Society,England
General & Medical Healthcare,Specialist,Private Medical Insurance,England
Saga Health Insurance,Over 50s,Private Medical Insurance,England
Allianz Care UK,National,International Private Medical,England
Cigna Healthcare UK,Corporate,Corporate Health Cover,England
Aetna International UK,Corporate,International Private Medical,England
Bupa Global,International,Premium Health Cover,England
AXA Health Global,International,Premium Health Cover,England
Western Provident Association Ltd,Corporate,Specialist PMI,England
APRIL UK,Corporate,Health & Protection,England
Health-on-Line,Digital,Private Medical Insurance,England
CS Healthcare,Civil Service,Mutual Health Insurance,England
Civil Service Healthcare,Dedicated,Mutual PMI,England
The Medicash Health Benefits Ltd,Cash Plan,Health Cash Plans,England
Westfield Health,Corporate,Health Cash Plans,England
HSF Health Plan,Corporate,Health Cash Plans,England
Paycare,West Midlands,Health Cash Plans,England
Sovereign Health Care,Yorkshire,Health Cash Plans,England
Exeter Friendly Society,Mutual,Friendly Society / PMI,England
Health Shield Medical,Mutual,Health Cash Plans,England
WMT Healthcare,Specialist,Medical Broker / Underwriter,England
PHC (The Private Health Partnership),Specialist,PMI Underwriter,England
Bupa Insurance Limited,UK National Cover,Private Medical Insurance,Wales
AXA PPP Healthcare Limited,UK National Cover,Private Medical Insurance,Wales
Aviva Health UK Limited,UK National Cover,Private Medical Insurance,Wales
Vitality Corporate Services Limited,UK National Cover,Private Medical Insurance,Wales
The Exeter,Regional,Friendly Society / PMI,Wales
WPA (Western Provident Association),Specialist,Specialist PMI,Wales
Simplyhealth,UK National Cover,Health Cash Plans,Wales
Benenden Health,Mutual,Mutual Healthcare,Wales
Freedom Health Insurance,Private,Private Medical Insurance,Wales
National Friendly,Regional,Mutual Society,Wales
General & Medical Healthcare,Specialist,Private Medical Insurance,Wales
Saga Health Insurance,Over 50s,Private Medical Insurance,Wales
Allianz Care UK,UK National Cover,International Private Medical,Wales
Cigna Healthcare UK,Corporate,Corporate Health Cover,Wales
Aetna International UK,Corporate,International Private Medical,Wales
Bupa Global,International,Premium Health Cover,Wales
AXA Health Global,International,Premium Health Cover,Wales
Western Provident Association Ltd,Corporate,Specialist PMI,Wales
APRIL UK,Corporate,Health & Protection,Wales
Health-on-Line,Digital,Private Medical Insurance,Wales
CS Healthcare,Civil Service,Mutual Health Insurance,Wales
Civil Service Healthcare,Dedicated,Mutual PMI,Wales
The Medicash Health Benefits Ltd,Cash Plan,Health Cash Plans,Wales
Westfield Health,Corporate,Health Cash Plans,Wales
HSF Health Plan,Corporate,Health Cash Plans,Wales
Exeter Friendly Society,Mutual,Friendly Society / PMI,Wales
Health Shield Medical,Mutual,Health Cash Plans,Wales
WMT Healthcare,Specialist,Medical Broker / Underwriter,Wales
PHC (The Private Health Partnership),Specialist,PMI Underwriter,Wales
