Company Name,Region/Focus,Type,Country
Hygeia HMO,Lagos / National,Health Maintenance Organization,Nigeria
Total Health Trust Limited,National,Health Maintenance Organization,Nigeria
Clearline International Limited,Lagos / National,Health Maintenance Organization,Nigeria
HCI Healthcare Limited,National,Health Maintenance Organization,Nigeria
Mediplan Healthcare Limited,National,Health Maintenance Organization,Nigeria
Aiico-Multishield HMO,National,Health Maintenance Organization,Nigeria
United Healthcare International Ltd,Abuja / National,Health Maintenance Organization,Nigeria
Ronsberger HMO,Abuja / National,Health Maintenance Organization,Nigeria
International Health Management Services,National,Health Maintenance Organization,Nigeria
Songhai HMO,National,Health Maintenance Organization,Nigeria
Integrated Health Care Limited,National,Health Maintenance Organization,Nigeria
Sunu Healthcare Services Limited,National,Health Maintenance Organization,Nigeria
Princeton Health Ltd,National,Health Maintenance Organization,Nigeria
Venus Medicare Ltd,National,Health Maintenance Organization,Nigeria
Defence Health Maintenance Limited,National,Military/Civil Health,Nigeria
United Comprehensive Healthcare,National,Health Maintenance Organization,Nigeria
AXA Mansard Health Limited,Lagos / National,Health Maintenance Organization,Nigeria
Leadway Health Limited,National,Health Maintenance Organization,Nigeria
Reliance HMO,Digital / National,Health Maintenance Organization,Nigeria
Avon Healthcare Limited,National,Health Maintenance Organization,Nigeria
Premium Health Limited,National,Health Maintenance Organization,Nigeria
Redcare HMO,National,Health Maintenance Organization,Nigeria
Ultimate Health Management Services,Abuja,Health Maintenance Organization,Nigeria
MetroHealth HMO,Lagos,Health Maintenance Organization,Nigeria
Zuma Health Trust Ltd,Abuja,Health Maintenance Organization,Nigeria
Salus Trust GTE Ltd,National,Catholic Health Network,Nigeria
Maayoit Healthcare Limited,National,Health Maintenance Organization,Nigeria
Regent HMO,Lagos,Health Maintenance Organization,Nigeria
Anchor HMO,National,Health Maintenance Organization,Nigeria
Princeton Health HMO,National,Health Maintenance Organization,Nigeria
Managed Healthcare Services Ltd,National,Health Maintenance Organization,Nigeria
Nelly Health HMO,Regional,Health Maintenance Organization,Nigeria
Wellness HMO,Lagos / National,Health Maintenance Organization,Nigeria
Oceanic Health Management Ltd,National,Health Maintenance Organization,Nigeria
Saviour Health HMO,Regional,Health Maintenance Organization,Nigeria
Cignet Health Limited,Lagos / Regional,Health Maintenance Organization,Nigeria
Gold Cross HMO,National,Health Maintenance Organization,Nigeria
Equinox HMO,Regional,Health Maintenance Organization,Nigeria
Marina HMO,Lagos / National,Health Maintenance Organization,Nigeria
Staco Health HMO,National,Health Maintenance Organization,Nigeria
Alliance HMO,National,Health Maintenance Organization,Nigeria
Royal Exchange Healthcare Ltd,National,Health Maintenance Organization,Nigeria
