Company Name,Region/Focus,Type,Country
Bupa Insurance Limited,England & Wales / National,Private Medical Insurance,England & Wales
AXA PPP Healthcare Limited,England & Wales / National,Private Medical Insurance,England & Wales
Aviva Health UK Limited,England & Wales / National,Private Medical Insurance,England & Wales
Vitality Corporate Services Limited,England & Wales / National,Private Medical Insurance,England & Wales
The Exeter,England & Wales / Regional,Friendly Society / PMI,England & Wales
WPA (Western Provident Association),England & Wales / Specialist,Specialist PMI,England & Wales
Simplyhealth,England & Wales / National,Health Cash Plans,England & Wales
Benenden Health,England & Wales / Mutual,Mutual Healthcare,England & Wales
Freedom Health Insurance,England & Wales / Private,Private Medical Insurance,England & Wales
National Friendly,England & Wales / Regional,Mutual Society,England & Wales
General & Medical Healthcare,England & Wales / Specialist,Private Medical Insurance,England & Wales
Saga Health Insurance,England & Wales / Over 50s,Private Medical Insurance,England & Wales
Allianz Care UK,England & Wales / National,International Private Medical,England & Wales
Cigna Healthcare UK,England & Wales / Corporate,Corporate Health Cover,England & Wales
Aetna International UK,England & Wales / Corporate,International Private Medical,England & Wales
Bupa Global,England & Wales / International,Premium Health Cover,England & Wales
AXA Health Global,England & Wales / International,Premium Health Cover,England & Wales
Western Provident Association Ltd,England & Wales / Corporate,Specialist PMI,England & Wales
APRIL UK,England & Wales / Corporate,Health & Protection,England & Wales
Health-on-Line,England & Wales / Digital,Private Medical Insurance,England & Wales
CS Healthcare,England & Wales / Civil Service,Mutual Health Insurance,England & Wales
Civil Service Healthcare,England & Wales / Dedicated,Mutual PMI,England & Wales
The Medicash Health Benefits Ltd,England & Wales / Cash Plan,Health Cash Plans,England & Wales
Westfield Health,England & Wales / Corporate,Health Cash Plans,England & Wales
HSF Health Plan,England & Wales / Corporate,Health Cash Plans,England & Wales
Paycare,England & Wales / West Midlands,Health Cash Plans,England & Wales
Sovereign Health Care,England & Wales / Yorkshire,Health Cash Plans,England & Wales
Exeter Friendly Society,England & Wales / Mutual,Friendly Society / PMI,England & Wales
Health Shield Medical,England & Wales / Mutual,Health Cash Plans,England & Wales
WMT Healthcare,England & Wales / Specialist,Medical Broker / Underwriter,England & Wales
PHC (The Private Health Partnership),England & Wales / Specialist,PMI Underwriter,England & Wales
